代码,名称,备注
300436,广生堂,覆盖肝脏健康全产品线的布局，并拓展了心血管、男性健康、抗新冠
597,东北制药,方大集团旗下上市公司，被誉为我国民族制药工业的摇篮，原料药和
919,金陵药业,主营医药与医美产业；旗下有诸多甲级医院           
2020,京新药业,涵盖心血管系统、消化系统、精神神经系统三大用药领域     
989,ST九芝,传承百年湘牌中华老字号，拥有传统中药类“九芝堂”牌系列产品、
600285,羚锐制药,中药贴膏龙头，全国橡胶膏剂药业中的首家上市企业       
600422,昆药集团,手握“昆中药”六百四十年老字号，产品基础扎实，华润三九入主，
300401,花园生物,全球知名的维生素D3、胆固醇及羊毛脂系列产品制造商     
301111,粤万年青,广东老牌中药企业，应用范围涵盖清热解毒类、心脑血管类、消化类
2826,易明医药,以新药研发、产业投资、生产销售为一体的新型医药企业，是醋氯芬
3020,立方制药,公司是渗透泵控释制剂国内产业化龙头，技术上已覆盖了最复杂结构
153,丰原药业,双主业：医药制造（主要产品涵盖解热镇痛、心血管等系列产品）和
739,普洛药业,国内特色原料药+CDMO+制剂综合发展的医药制造龙头企业  
300158,振东制药,领跑米诺地尔品类（毛发领域），还涉及肿瘤、消化、心脑等领域+
600535,天士力,中药现代化领军企业，覆盖心脑血管、抗肿瘤等领域，形成现代中药
2603,以岭药业,中药创新领军企业；公司抗疫明星产品连花清瘟，后疫情时代品牌价
603858,步长制药,国内最大的心脑血管中成药生产企业              
2424,ST百灵,国内苗药龙头                        
600329,达仁堂,三百年历史传统重要重组完成破局重生，三核九翼”战略布局，速效
2900,哈三联,东北地区首家生产聚丙烯安瓿注射剂的企业           
300485,赛升药业,在生物生化药物研发方面具有较强的实力            
688016,心脉医疗,公司为国产主动脉介入龙头，公司2021年年报显示国内市占率2
688108,赛诺医疗,专注于高端介入医疗器械研发、生产、销售的国际化公司     
688198,佰仁医疗,国内领先的、专注于动物源性植介入医疗器械研发与生产的高新企业
688617,惠泰医疗,电生理和冠脉通路产品双龙头国产品牌，在电生理医疗器械国产品牌
688351,微电生理,全球少数同时完成心脏电生理设备与耗材完整布局的厂商，亦是首个
301367,怡和嘉业,家用无创呼吸机龙头，国内领先的呼吸健康领域医疗设备与耗材产品
300760,迈瑞医疗,迈瑞医疗是国内医疗器械领域的绝对龙头，多条细分产品线销售额占
301363,美好医疗,中国家用呼吸机组件和人工植入耳蜗制造龙头企业        
600855,航天长峰,实控人航天科工集团，主营业务分为安保科技、电源、医疗、电子信
999,华润三九,已成为国内OTC领域品牌+渠道的龙头企业，不仅拥有较高的品牌
538,云南白药,中药第一民族品牌，国产牙膏第一品牌             
300147,香雪制药,以中药制造为主营业务，集现代中药及中药饮片的研发、生产与销售
300267,尔康制药,主营业务集中在辅料、原料药、成品药三大领域，是国内生产规模大
2737,葵花药业,儿童药产品在儿药行业领域领军，实行“小葵花”儿童药+“葵花”
513,丽珠集团,在抗肿瘤、辅助生殖、消化道、精神及神经等用药领域具备优势  
600664,哈药股份,拥有“哈药、三精、世一堂、盖中盖、护彤”五件驰名商标    
600129,太极集团,拥有藿香正气口服液、太极急支糖浆等多个优质品牌产品，市占率高
300434,金石亚药,新型复合管道行业和大面积真空磁控溅射技术领域处于国内领先地位
600566,济川药业,小儿豉翘清热颗粒                      
688076,诺泰生物,国内少数以多肽药物为主要研究和发展方向的生物医药企业之一  
2370,亚太药业,从事透皮控释系统、抗感染、心血管、降糖类、肝炎类等药物研发 
600750,江中药业,主营非处方药、保健品的江西省中药龙头企业          
2864,盘龙药业,主营风湿骨科类中成药，主导品种盘龙七片为独家生产，全国公立医
2412,汉森制药,形成了以消化系统用药、心脑血管用药为一体的产品体系     
2898,赛隆药业,拥有GSP（赛隆药业）、GMP（岳阳赛隆）认证资质的医药企业
661,长春高新,生长激素龙头（金赛药业）+水痘疫苗市场份额领先，还拥有狂犬疫
605199,葫芦娃,国内儿科呼吸系统治疗领域的领军企业             
915,华特达因,维生素D及相关产品绝对有优势，AD同补符合中国儿童体制特征，
603439,贵州三力,呼吸系统疾病中成药市场将恢复并增长；儿科用药市场即将迎来新空
300723,一品红,传统业务稳健增长，集采中标药物23年开始贡献业绩，高尿酸血症
300086,康芝药业,以儿童药、母婴健康用品、生殖医学及妇儿健康、医用口罩等医疗器
600976,健民集团,打造儿药优势品种，体培牛黄有望持续贡献收益。        
688276,百克生物,水痘疫苗的市占率处于领先地位，还拥有狂犬疫苗以及冻干鼻喷流感
603392,万泰生物,主要从事体外诊断试剂和疫苗的研发和生产。          
300142,沃森生物,从事人用疫苗产品研发，拥有全球两大重磅疫苗品种       
300122,智飞生物,"自研代理双轮驱动，疫苗龙头成长进行时
           "
300601,康泰生物,主营人用疫苗，国内疫苗研发平台最丰富的企业之一       
688185,康希诺,创新驱动疫苗管线研发，新冠需求催化公司业绩增长，产品管线针对
688520,神州细胞,致力于研发具备差异化竞争优势生物药的创新型生物制药研发公司 
600079,人福医药,麻醉精神药物龙头，医药细分领域领导者。           
301207,华兰疫苗,华兰疫苗是国内最早专注于疫苗研发及生产企业之一，在流感疫苗领
688670,金迪克,四价流感疫苗快速放量，品种不断丰富             
688319,欧林生物,国内率先开辟破伤风疫苗疾控中心市场             
688265,南模生物,首家A股上市的实验动物培育企业               
688046,药康生物,小鼠模型定制化服务市占率A股第二，国内模式动物优质企业，资源
2044,美年健康,中国领先的专业健康体检和医疗服务集团            
603882,金域医学,国内第三方医学检验行业营收规模最大、覆盖市场网络最广、检验项
300244,迪安诊断,“产品+服务”双轮驱动，提供医疗诊断整体化解决方案     
2030,达安基因,国内核酸诊断试剂领域领先者                 
688426,康为世纪,国内少数实现分子检测核心环节完整业务布局的生物科技企业。  
600763,通策医疗,通策医疗是国内口腔医疗服务龙头，目前旗下共有40余家医院和1
2690,美亚光电,研制了拥有完全自主知识产权的色选机、口腔X射线CT诊断机等 
300653,正海生物,国内生物再生材料领头羊，受益于进口替代和牙科市场增长。   
300285,国瓷材料,国内陶瓷新材料龙头企业。                  
2622,皓宸医疗,"主业为永磁开关及高低压开关成套设备产品,通过收购广东德伦医疗"
300143,盈康生命,国内领先的大型放疗设备企业                 
600009,上海机场,核心渠道价值仍在，随客流恢复及客单价提升，若重新谈判或保持良
600004,白云机场,中国三大门户复合枢纽机场之一，乘客吞吐量位列全国第3、全球第
89,深圳机场,中国境内第一个实现海、陆、空联运的现代化国际空港      
600897,厦门空港,国内外航空运输及旅客提供地面保障等服务等业务的企业     
600029,南方航空,中国运输飞机最多、航线网络最发达、年客运量最大的航空公司  
601111,中国国航,航网时刻优质，竞争优势难撼动也是国内唯一载国旗飞行的航司  
600115,中国东航,一家集全服务航空、创新经济型航空、支线航空于一身的航空公司。
600221,海航控股,曾跻身“全球最佳航空公司TOP10”榜单第7位       
601021,春秋航空,低成本航空龙头                       
603885,吉祥航空,民营航司龙头企业，发展16载实现双品牌运营，以上海虹桥、浦东
2928,华夏航空,支线航空与干线航空差异大，干线相对竞争激烈而支线相对参与者少
99,中信海直,全国性甲类通用航空企业，我国通用航空业首家上市公司     
415,渤海租赁,飞机租赁业务（全球第二大飞机租赁公司）+集装箱租赁业务（全球
1965,招商公路,产业链最完整的综合性公路投资运营服务商           
600377,宁沪高速,江苏省唯一的交通基建类上市公司               
600350,山东高速,公司核心路桥资产均为山东省高速公路网的中枢干线       
600548,深高速,拥有深圳市高速公路专营权                  
429,粤高速A,广东省高速公路系统内开发高速公路和特大桥梁的主要机构之一  
828,东莞控股,从事东莞市的高速公路投资、建设、经营，涉足保理业务租赁业务 
600012,皖通高速,公司运营高速公路里程609公里，持有安徽省优质高速公路资产，
600020,中原高速,建设和管理的高速公路和桥梁位于河南交通网的主干线      
885,城发环境,稳抓收费高速公路业务，推进垃圾发电业务，实控人为河南省发改委
600269,赣粤高速,江西省内最大的高速公路管养企业               
601107,四川成渝,是四川省投资、建设、营运高速公路的主要企业之一       
900,现代投资,主营湖南省内的高速公路的养护维修和收费经营业务       
548,湖南投资,实控人长沙市国资委，高速公路建设运营+资产管理和物业服务+酒
600033,福建高速,福建省高速公路的投资、建设、运营和管理企业         
600035,楚天高速,湖北省第一家公路上市公司，拥有湖北交通流量最大的公路之一  
755,山西高速,山西省交通系统内唯一一家高速公路资产上市平台。       
601518,吉林高速,公司拥有长平高速公路的特许经营权              
600368,五洲交通,拥有良好的高速公路资源，东兴口岸目前规模最大的物流公司   
601188,龙江交通,黑龙江地区较大的以经营管理高速公路为主业的公司       
600026,中远海能,全球能源海运龙头，公司是全球运力规模最大的油运船东、国内LN
601872,招商轮船,世界领先综合航运公司，VLCC和VLOC规模位居世界第一  
601975,招商南油,全球领先的中小船型液货运输服务商，外贸成品油运输业务规模位居
603209,兴通股份,中国内贸化学品航运龙头。公司内贸化学品船运力第一，近三年连续
1205,盛航股份,内贸化学品海运龙头。公司主要从事国内沿海、长江中下游液体化学
603167,渤海轮渡,渤海湾乃至全国的专业化客滚运输企业之一           
2320,海峡股份,琼州海峡客滚输运龙头                    
603565,中谷物流,中国最早专业经营内贸集装箱航运的企业之一          
600179,安通控股,主营业务为集装箱多式联运综合物流服务            
601598,中国外运,沿海口岸、国内重点城市及海外相关区域拥有丰富的物流中心等资源
601022,宁波远洋,浙江国资委旗下，浙江省最大的集装箱班轮企业         
601919,中远海控,中远海控旗下集装箱码头2020年总吞吐量排名蝉联世界第一  
601866,中远海发,船舶租赁业务规模居于世界前列，集装箱租赁业务规模为世界第二 
600751,海航科技,天津海运业龙头，公司主营全球干散货航线运输。        
39,中集集团,全球规模最大、品种最齐全的集装箱制造集团          
600798,宁波海运,以电煤运输为主的专业化散货运输经营格局           
600428,中远海特,受益汽车和风电运输，带来高景气               
603569,长久物流,国内最大第三方汽车物流公司                 
603162,海通发展,民营干散货航运企业，主营境内外航区干散货海运业务      
601766,中国中车,全球技术领先的高速动车组研发制造企业            
688009,中国通号,自主研发的高铁与铁路各类系统与设备已全面覆盖国内轨道交通网络
688015,交控科技,以自有CBTC技术为核心，主营城市轨道交通信号系统项目承包 
925,众合科技,公司拥有智慧交通、泛半导体、产业数智化三大业务群。是首个互联
603508,思维列控,在我国铁路行车安全系统领域处于优势地位           
300851,交大思诺,轨交行业领先的列控系统关键设备供应商            
688187,时代电气,轨交系统IGBT业务的龙头，发力新能源行业，探索碳化硅领域，
300351,永贵电器,深耕轨交连接器40余年，是轨交连接器龙头企业。       
300011,鼎汉技术,国内轨道交通电源系统龙头企业                
688285,高铁电气,国内电气化铁路和城市轨道交通供电装备领域的龙头企业     
688033,天宜上佳,国内领先的高铁动车组用粉末冶金闸片供应商          
600458,时代新材,全球轨道交通车辆减振领域规模第一，风电叶片规模位居国内第二 
600495,晋西车轴,铁路车轴的制造、研发能力和工艺创新能力处于全球领先地位   
603111,康尼机电,公司轨道车辆门系统产品全球市场占有率位居第一        
603680,今创集团,全球优秀的轨道交通内饰及装备企业              
605298,必得科技,一家专业从事铁路客车车辆配件产品研产销为一体的高新技术企业 
600528,中铁工业,隧道施工装备、铁路施工设备、道岔业务、钢结构制造居国内第一 
688425,铁建重工,全球领先的掘进机装备提供商、中国领先的轨道交通设备提供商  
688569,铁科轨道,轨道扣件龙头                        
603500,祥和实业,国内轨道扣件非金属部件领域具有较高知名度的企业       
601816,京沪高铁,核心资产是连通“长三角”与“京津冀”的京沪高速铁路。    
601333,广深铁路,国铁集团旗下，主营深圳-广州-坪石段铁路客货运输业务    
601006,大秦铁路,大秦铁路是国铁集团旗下唯一铁路煤炭运输上市平台。      
8,神州高铁,轨道交通运营检修装备与数据、线路运营、维保服务领军企业   
688459,哈铁科技,中国铁路旗下的轨道交通产品及服务商             
300150,世纪瑞尔,我国铁路行车安全监控系统供应商，行业的领先者        
301048,金鹰重工,国内轨道工程装备行业的领先企业               
300906,日月明,国内专业的轨道安全测控设备和技术方案提供商         
1872,招商港口,占深圳港集装箱码头业务市场份额的27.2%。        
601228,广州港,华南地区综合性主枢纽港，中国最重要的对外贸易口岸之一    
88,盐田港,已形成港口、港口供应链、临港产业三大业务板块的经营格局   
507,珠海港,现代化大型港口物流企业                   
600017,日照港,北方重要干散货港口，量价向好成长性凸显           
601298,青岛港,青岛港口是世界第五大港，我国北方最大的外贸口岸       
601326,秦港股份,河北国资委旗下，全球最大的大宗干散货公众码头运营商，经营的秦
601000,唐山港,公司的优势装卸货种是散杂货                 
601008,连云港,“一带一路”交汇点建设的核心区和战略先导区，核心业务为海港码
2040,南京港,目前我国内河最大的石油、液体化工产品中转储存的港口运输企业 
600717,天津港,天津港位于京津城市和环渤海经济圈的交汇点上，地理位置优越  
582,北部湾港,广西北部湾地区国有公共码头的唯一运营商           
600018,上港集团,上港集团是全球第一大集装箱港口运营商，中国最大港口上市公司。
600190,ST锦港,锦州港是辽宁省重点发展的北方区域性港口，主要从事港口综合运输
601018,宁波港,货物吞吐量和集装箱吞吐量持续保持全球港口前列        
600279,重庆港,重庆市港口客货运输、集装箱运输领先企业，西南地区地域优势明显
905,厦门港务,构建了完整而高效的港口综合物流服务供应链          
2080,中材科技,公司作为风电叶片龙头，在研发、材料技术上均有竞争优势，国内市
600875,东方电气,全球最大的发电设备供应商及电站工程承包商之一        
601615,明阳智能,半直驱技术领先。自供比例高→产品快速升级+降本。海上风电占比
2531,天顺风能,已成长为全球最具规模的风塔、叶片装备制造龙头企业之一，新能源
2669,康达新材,国内胶粘剂行业领先公司                   
301555,惠柏新材,风电叶片用环氧树脂市占率国内居前              
688585,上纬新材,亚洲领先的乙烯基酯树脂供应商之一              
301149,隆华新材,关键工艺技术无需脱除链转移剂法生产POP属国内首创，填补国内
300443,金雷股份,风电主轴龙头                        
300185,通裕重工,我国最大的球墨铸铁管管模及MW级风力发电机主轴生产企业   
301163,宏德股份,同时在铸铁和铸铝领域拥有核心技术的高端装备关键铸件生产企业 
2487,大金重工,风电塔筒环节的龙头，依托于优质的码头资源支撑产能扩张，受益于
300569,天能重工,国内专业的风机塔架生产商                  
300129,泰胜风能,泰胜风能是中国最早并成为全球最具规模和影响力的风力发电塔架专
300690,双一科技,中国树脂基复合材料应用领域的领先企业            
603507,振江股份,国内新型能源系统零部件隐形冠军，在深度绑定龙头客户的同时积极
603218,日月股份,风电铸件行业龙头，短期看成本弹性，长期看产能增长。     
688186,广大特材,风电零部件结构优化+成本下行，静候业绩反转时        
601218,吉鑫科技,全国乃至全球规模最大的风电铸件生产企业           
301063,海锅股份,国内少数能同时进入全球主要知名大型油气设备制造商以及全球主要
301040,中环海陆,国内较大规模的专业化工业金属锻件企业            
1239,永达股份,主营隧道掘进及其配套设备、工程起重设备、风力发电设备等产品 
603985,恒润股份,风电法兰领军企业，进军风电轴承打开第二增长曲线       
300850,新强联,风电轴承国产化引领者，风机加速大型化下份额向好。      
301548,崇德科技,动压油膜滑动轴承跻身全球市占率前六             
603667,五洲新春,民营轴承领军企业，风电滚子、汽车轴承双驱动         
595,*ST宝实,全国轴承行业六家大型一档企业之一、西部地区最大的轴承厂家  
300421,力星股份,国内最大的专业化钢球生产基地                
300718,长盛轴承,自润滑轴承高速发展，风电汽车等下游领域助力企业快速蜕变   
601177,杭齿前进,专业生产各类齿轮传动装置的大型企业，船用齿轮箱细分领域龙头 
300904,威力传动,风电专用减速器国内市占率前三                
300274,阳光电源,全球光伏逆变器出货量最大的公司               
603063,禾望电气,在新能源电控系统解决方案方面是最具竞争力的本土电气企业之一 
2184,海得控制,聚焦智能制造：工业电气自动化业务+工业信息化业务+新能源业务
2202,金风科技,风电市占率国内第一、全球前二，拥有自主知识产权的直驱永磁和中
688676,金盘科技,全球干式变压器龙头企业，切入高压级联储能领域        
603097,江苏华辰,华东地区主要的输配电及控制设备生产商之一          
2112,三变科技,公司主要经营变压器、输变电设备的生产、维修、保养和销售，是国
533,顺钠股份,输配电设备行业拥有完善的产品链和生产规模优势        
300772,运达股份,公司是国内最早从事风力发电机组研究与制造的企业，适应行业趋势
688349,三一重能,轻量化风电整机新锐，零部件自产打造盈利优势         
688660,电气风电,中国领先的风电整机制造商与服务商              
301226,祥明智能,提供微型电机定制化服务，产品数量多达2000多种，形成与可比
301456,盘古智能,风力发电类集中润滑系统国内市占率40%以上         
301155,海力风电,海力风电专注于海上风电领域，是国内海上风电管桩龙头，等风起，
2483,润邦股份,全球最专业、最具规模的船舶舱口盖制造基地之一        
301232,飞沃科技,风电叶片预埋螺套全球市占率约七成              
600522,中天科技,海底电缆综合解决方案龙头；积极拓展光伏+储能+铜箔业务；光通
603606,东方电缆,海缆产品市占率A股第二，受益深远海风场的发展趋势。高电压海缆
600487,亨通光电,公司多品类业务齐发展，海缆产品A股第三，光纤光缆A股第二，智
2498,汉缆股份,国内高压、超高压电力电缆相关技术研发的引领者        
600973,宝胜股份,线缆巨头依托优势资源，快速切入海缆行业           
2300,太阳电缆,福建省内外电力、邮电、国防等行业重点建设项目的主要合作伙伴之
753,漳州发展,漳州国资委旗下，主营城市基础设施建设和汽车销售，布局光伏发电
605222,起帆电缆,品牌在全国拥有较高的知名度                 
601857,中国石油,油气储量规模国内最大，国内第二大炼油企业，布局了从油气上游勘
600028,中国石化,中国规模最大的石油开采及炼化企业之一，是国内上下游及终端销售
600938,中国海油,国内独立油气勘探巨头                    
603393,新天然气,新疆地区的城市燃气供应商之一                
968,蓝焰控股,主营煤矿瓦斯治理及煤层气勘探、开发与利用业务        
600777,ST新潮,在美国拥有两处高价值的油田资产               
600759,洲际油气,立足中亚的专业化石油勘探开发企业              
300483,首华燃气,中国园艺用品业内第一个国际品牌               
600256,广汇能源,公司立足新疆，是目前国内唯一一家同时拥有“气、煤、油”资源的
600803,新奥股份,国内稀缺的天然气上下游一体化龙头              
600642,申能股份,石油天然气、电力的双主业发展，垄断了上海市的天然气业务   
605090,九丰能源,公司具备氢源优势，有望成为广东制氢龙头。          
601139,深圳燃气,业务涵盖了气源供应到终端销售的全部环节，抗风险能力较强   
1331,胜通能源,天然气终端服务商，国内稀缺的液化天然气“运贸一体化”龙头  
603318,水发燃气,山东省国资委的水发集团旗下唯一A股上市公司，主营业务包括燃气
2221,东华能源,拥有大型液化石油气冷冻储运批发基地的合资企业        
603223,恒通股份,是国内LNG贸易物流行业的领先企业             
601686,友发集团,连续多年焊接钢管产销量排名全国第一             
2443,金洲管道,国内最大镀锌钢管、螺旋焊管和钢塑复合管供应商        
2318,久立特材,高端不锈钢管专家，高端化发展助力业绩上行，产能提升2022年
2478,常宝股份,国内油管行业第二大制造商和全国前三大锅炉企业        
600903,贵州燃气,从事贵州地区的天然气入户安装、天然气销售业务        
605169,洪通燃气,专注清洁交通能源供应领域的天然气专业运营商         
603080,新疆火炬,公司处于新疆西南部，具有较为明显的气源优势         
603706,东方环宇,昌吉市行政区域范围内为双燃料汽车提供天然气燃料的独家供应  
2911,佛燃能源,佛山区域燃气龙头，在大力发展燃气供应业务的同时，积极开展油品
600956,新天绿能,中国石油华北地区第三大分销商和河北省领先的天然气分销商之一 
600635,大众公用,公用事业与金融创投齐头并进的投资控股型企业         
605368,蓝天燃气,河南省主干线管网覆盖范围最广、规模最大的综合性燃气企业，涵盖
421,南京公用,实控人南京市国资委+南京市主城独家燃气供应的特许经营优势+房
600461,洪城环境,以供水业务起家，核心业务自来水供应、污水处理以及燃气供应，积
603053,成都燃气,全面覆盖成都平原中心区的燃气运营服务商           
600979,广安爱众,在广安等区域内形成覆盖水、电、气不同业务的综合业务能力   
600333,长春燃气,公司在长春、延吉两市地区燃气业务市场占有率第一       
600917,重庆燃气,重庆市供气量最大、覆盖区域最广的燃气供应与综合服务商    
2267,陕天然气,陕西省内唯一天然气长输管道运营商。             
1299,美能能源,城市燃气综合运营服务商                   
603689,皖天然气,安徽省天然气管网具有区域先入优势              
593,德龙汇能,从事以天然气能源为主的清洁能源供应业务。参股公司好风光主要储
407,胜利股份,转型清洁能源提供商                     
600681,百川能源,覆盖京津冀的燃气综合服务商                 
300332,天壕能源,业绩高速增长，神安将成，静待花开。             
300059,东方财富,互联网金融龙头企业                     
300033,同花顺,20年积累已成金融信息服务领跑者，C端客户B端业务持续拓展，
300803,指南针,专注于证券分析和证券信息服务，拥有高中低端针对不同客户需求的
601519,大智慧,国内领先的互联网金融信息服务提供商             
688318,财富趋势,B端尽享券业发展红利龙头稳固，C端蓝海广阔贡献新增长极   
300085,银之杰,金融科技服务公司                      
600825,新华传媒,上海报业集团旗下上市公司和主要资本平台。横跨图书发行和报刊经
600030,中信证券,国内第一家IPO上市的证券公司，各项业务全面领跑行业，龙头优
601211,国泰君安,业务体系全面均衡，主营业务稳居于行业前列的大型券商     
601881,中国银河,国内分支机构最多的证券公司                 
601688,华泰证券,“涨乐财富通”APP，位居证券公司类APP第一名      
601066,中信建投,资产规模排名10名左右，营收及净利润由行业10名冲击前5，R
601995,中金公司,中国首家中外合资投资银行                  
600837,海通证券,卓越的综合金融服务平台，业内领先的国际业务平台       
776,广发证券,市场化机制+地方资源，营运效率稳定提升           
166,申万宏源,布局完善、能力突出的投资银行集团              
600999,招商证券,连续多年蝉联证监会证券公司分类评价最高评级A类“AA”级  
600958,东方证券,以大资管业务为核心的中上游券商，旗下包括汇添富基金和东证资管
600061,国投资本,国投公司旗下唯一金融控股平台，安信证券为其核心资产之一   
601788,光大证券,中国领先且具有强大综合竞争力的证券金融集团         
601696,中银证券,依托中国银行资源的综合性券商                
600621,华鑫股份,华鑫证券和华鑫期货是公司的核心子公司            
601108,财通证券,全国性的综合类券商，永安期货的控股股东           
601878,浙商证券,在资产管理、期货等业务具有较强竞争力的证券公司       
2939,长城证券,拥有全牌照、综合性业务平台，债券承销业务居于行业领先水平  
2797,第一创业,有固定收益特色的、以资产管理业务为核心的证券公司      
712,锦龙股份,控股中山证券，参股东莞证券                 
783,长江证券,研究水平行业领先，研究驱动业务发展新模式效果显著      
601162,天风证券,高度重视研究所建设，在研究业务具有竞争力的证券服务商    
601099,太平洋,公司作为云南本土的上市券商，经纪业务在云南市场占有率排名第一
601236,红塔证券,中国烟草总公司旗下，云南区域券商              
600109,国金证券,业务范围辐射全国的综合类券商，公司已基本实现全牌照经营   
2926,华西证券,公司综合实力在西部地区证券公司中居于领先地位        
728,国元证券,拥有零售经纪、投资银行、财富管理、投融资及场外市场等全牌照 
600909,华安证券,深耕安徽省的综合性证券公司                 
601555,东吴证券,地处金融资源丰富的长三角，具备显著的区位优势和发展潜力   
601456,国联证券,基金投顾具先发优势，财富管理有望驱动公司快速成长      
601990,南京证券,公司目前连续三年分类评价结果均为A类A级，丰富的证券行业管理
2736,国信证券,在经纪和投资银行业务方面具有较突出的行业领先优势      
601901,方正证券,营业部数量位居行业第二，线下服务能力较强，财富管理转型相对领
601059,信达证券,中国信达旗下上市证券公司，是中国信达金融服务板块优先发展的成
601198,东兴证券,中国东方资管旗下唯一上市金融平台，A股首家AMC系上市券商 
601136,首创证券,北京国资委旗下，具有全牌照经营资质             
750,国海证券,证券经纪业务在广西市场占有率位列第一，区域和品牌优势明显  
2500,山西证券,FICC、期货业务成为公司的重要支撑            
600918,中泰证券,全国大型综合类券商                     
601375,中原证券,以证券业务为基础的金融综合经营企业，正牵头组建中原人寿公司 
600906,财达证券,省内资源优势集聚，京津冀一体化助力开启业务成长空间     
600095,湘财股份,全资子公司湘财证券为首批全国性综合类证券公司        
2670,国盛金控,江西省交通运输厅旗下，主要通过全资子公司国盛证券开展业务  
600864,哈投股份,实控人哈尔滨市国资委，热电+证券（江海证券）业务双轮驱动。 
686,东北证券,拥有全业务牌照的综合证券服务商               
600369,西南证券,实控人重庆市国资委，形成全牌照经营格局。参股银华基金。   
600155,华创云信,集产业研究、科技开发、投融资为一体的控股型平台。      
601377,兴业证券,证券研究业务稳定在行业第一梯队、债券承销业务行业领先    
2673,西部证券,深耕西部地区，在陕西省内具有领先的市场地位         
2945,华林证券,投资银行业务具有较强的市场竞争力              
601398,工商银行,中国最大的商业银行，被誉为“宇宙第一行”          
601939,建设银行,中国第二大银行                       
601288,农业银行,我国大型国有商业银行之一                  
601988,中国银行,中国第四大国有商业银行                   
600036,招商银行,从零售转型到大财富管理。大财富管理模式：大客群+大平台+大生
601658,邮储银行,背靠邮政集团，网点深入布局广袤城乡，客户群体庞大。     
601328,交通银行,以财富管理为特色的一流银行                 
601166,兴业银行,以“商行+投行”战略为核心不断推进转型升级，着力打造绿色银行
601998,中信银行,以公司银行为主体、零售银行和金融市场为两翼的业务结构    
1,平安银行,短期估值提升有催化，长期业绩改善有空间           
600000,浦发银行,全国性股份制商业银行之一                  
601818,光大银行,一流财富管理银行，在投行、电子银行、信用卡等业务行业领先  
600016,民生银行,我国首家主要由非公有制企业入股的全国性股份制商业银行    
601187,厦门银行,台资背景，全国首家成立台商业务部的银行           
600928,西安银行,西北首家A股上市银行，实际控制人为西安市人民政府。     
1227,兰州银行,在兰州市中小商业银行中存款、贷款余额排名第1        
2936,郑州银行,打造独具特色的“商贸物流银行”               
601577,长沙银行,享区域红利，打造城商行零售标杆               
601077,渝农商行,深耕重庆，县域优势突出。                  
601963,重庆银行,第一家在中国香港联交所上市的内地城商行           
601838,成都银行,资产质量优秀，小微产品覆盖全面，区域经济趋势向好，业绩预期向
601997,贵阳银行,机构网点实现贵州88个县域全覆盖的城商行          
601169,北京银行,开辟和探索了中小银行创新发展经典模式的商业银行       
600015,华夏银行,全国第五家上市银行                     
600919,江苏银行,区域龙头城商行的“稳中有进”优异答卷            
601009,南京银行,存贷款规模在南京地区的市场占有率位居前列          
2966,苏州银行,风格稳健，资产质量扎实，安全垫高，区域经济提供充足动力   
601128,常熟银行,小微小贷，小美银行                     
600908,无锡银行,无锡市区唯一地方性法人银行，2016-2021年化复合增速为
2839,张家港行,主要经营区域为张家港市，是当地营业网点最多、覆盖面最广的商业
601860,紫金银行,南京地区服务网络最广的本土金融机构             
