时间	代码	名称	评级	标题
2025-06-19	688197	首药控股	增持	ALK-TKI双代布局，SY-707上市在即
2025-06-19	002536	飞龙股份	增持	热管理部件正加速放量，积极拓展非车领域
2025-06-19	002739	万达电影	买入	打造超级娱乐空间，探索影院第二增长曲线
2025-06-19	688347	华虹公司	买入	涨价、扩产、收购，华虹进入成长新阶段
2025-06-19	600522	中天科技	买入	领先的电力及通信传输供应商 受益于国内外海风共振
2025-06-19	688269	凯立新材	买入	连续两个季度收入利润双增，化工新催化剂实现突破
2025-06-19	002044	美年健康		深耕AI健康管理强化预防医学壁垒，体检行业龙头优势显著
2025-06-19	600415	小商品城	买入	数贸中心珠宝行业完成招商；拟设立香港子公司完善跨境支付生态
2025-06-19	603151	邦基科技	增持	事件点评：拟并表瑞东农牧旗下养猪资产，有望实现向下游养殖环节延伸
2025-06-19	002384	东山精密	买入	东山精密事件点评：收购索尔思光电100%股权，拓展光通信赛道完善战略布局
2025-06-19	605337	李子园	增持	二代接班启新篇，关注新品培育
2025-06-19	603109	神驰机电	买入	公司动态研究报告：认证壁垒，深耕渠道
2025-06-19	688392	骄成超声	买入	24Q4业绩拐点已现，汽车、半导体业务步入收获期
2025-06-19	920037	广信科技		广信科技新股报告：聚焦高端绝缘材料，国产替代稳步推进
2025-06-19	001359	平安电工	买入	传统与新能源并进，为安全保驾护航
2025-06-19	603766	隆鑫通用	买入	摩托车领军企业，无极系列成长势头强劲
2025-06-19	688777	中控技术	增持	创新商业模式，剑指工业AI龙头
2025-06-19	688150	莱特光电	中性	单季度新高收入和利润，OLED材料产业趋势显现
2025-06-19	688499	利元亨	增持	锂电设备行业回暖在即，固态电池构筑成长空间
2025-06-19	600699	均胜电子	买入	国内领先智能汽车Tier1，机器人打开新增长点
2025-06-19	688579	山大地纬	买入	实控人拟变更，“AI+区块链”领军开启新征程
2025-06-19	002078	太阳纸业		太阳纸业：浆纸见底、成长性延续
2025-06-19	688378	奥来德	买入	材料实现单季度扭亏，中标京东方8.6代线设备订单
2025-06-18	688288	鸿泉物联	买入	公司深度报告：国四补贴为重卡注入明确增量，乘用车及两轮车加码成长斜率
2025-06-18	002487	大金重工	买入	欧洲海风景气向上，订单放量迎接双击
2025-06-18	301559	中集环科	增持	全球罐式集装箱龙头，高端医疗影像设备贡献第二增长曲线
2025-06-18	000921	海信家电	买入	深度报告：央空+传统大电基本盘稳固，三电热管理有望贡献新增量
2025-06-18	688550	瑞联新材	买入	显示材料贡献收入增量，成本管控显著，利润高增
2025-06-18	002657	中科金财	增持	中科金财首次覆盖：AI原生智能体和算力业务打开成长空间
2025-06-18	601579	会稽山	增持	锐意进取，重塑成长曲线
2025-06-18	600794	保税科技	增持	保税科技跟踪点评：首次覆盖：传统物流静待复苏，新业务提质发展
2025-06-18	603337	杰克股份	买入	公司动态研究报告：布局人形机器人，开辟智能缝制新空间
2025-06-18	603859	能科科技	增持	工业AI加速渗透，AI业务实现突破性增长
2025-06-18	600733	北汽蓝谷	增持	极狐矩阵重构增长新势，华为智驾赋能高端转型
2025-06-18	300308	中际旭创		受益于北美CSP对ASIC服务器出货的乐观预期
2025-06-18	301195	北路智控	增持	公司跟踪点评：利润恢复增长，第二增长曲线值得期待
2025-06-18	300870	欧陆通	增持	开关电源龙头企业，数据中心电源开拓成长曲线
2025-06-18	300433	蓝思科技	买入	公司动态研究报告：消费电子平台型公司，布局人形机器人赛道打造第二增长曲线
2025-06-18	605056	咸亨国际	买入	公司动态研究报告：央企集采扩容，咸亨发电破局构筑第二曲线
2025-06-18	688225	亚信安全	增持	公司跟踪点评：现金造血能力快速恢复，鸿蒙操作系统利好终端安全业务
2025-06-18	600988	赤峰黄金	买入	国际化布局的黄金矿石提供商，业绩有望快速释放
2025-06-18	603288	海天味业	买入	海天味业首次覆盖报告：龙头地位优势明显 产品创新增长迅速
2025-06-18	002965	祥鑫科技	增持	冲压模具及精密结构件专家，机器人有望打开增量空间
2025-06-18	605133	嵘泰股份	买入	铝合金压铸领军企业，积极开拓第二增长曲线
2025-06-18	300487	蓝晓科技	买入	吸附材料弥补提锂项目下滑，生命科学、超纯水突破
2025-06-18	600007	中国国贸	增持	经营北京优质商业，盈利稳定穿越周期
2025-06-18	601000	唐山港	买入	散杂货港口服务本地，经营稳定红利性突出
2025-06-18	002049	紫光国微	买入	紫光国微深度研究报告：国产替代浪潮起，更扬云帆立潮头
2025-06-17	838971	天马新材	增持	北交所信息更新：50,000吨电子陶瓷粉体募投项目结项投产，2025Q1营收同比+16%
2025-06-17	831689	克莱特	增持	北交所信息更新：电池热保障系统量产，船用与核电领域产品订单充足
2025-06-17	002273	水晶光电	买入	深度报告：光学积淀，AR领航
2025-06-17	603288	海天味业	增持	港股上市在即，稳步推进全球化战略
2025-06-17	688282	理工导航	买入	传统型号项目持续落地，持续参与新型弹药研发配套
2025-06-17	688233	神工股份	增持	一季度业绩同比高增，半导体硅电极持续放量
2025-06-17	002304	洋河股份	增持	洋河股份跟踪报告：以长期主义应对下行周期
2025-06-17	688518	联赢激光	增持	3C业务持续增长&动力锂电逐步修复，激光焊接设备龙头多点开花
2025-06-17	688256	寒武纪	增持	一季度业绩同环比高增，积极备货保障下游供应
2025-06-17	605589	圣泉集团	增持	合成树脂龙头企业，电子特种树脂快速成长
2025-06-17	600226	亨通股份	买入	高端铜箔国产化先锋，打造第二成长曲线
2025-06-17	601098	中南传媒	买入	优化主业结构，打造“文化+科技”成长新局面
2025-06-17	688591	泰凌微	买入	从超低功耗到EdgeAl，构建Matter全场景解决方案
2025-06-17	688981	中芯国际	买入	匠芯筑梦，智造未来
2025-06-16	002273	水晶光电	买入	公司首次覆盖报告：立足光学创新，多赛道布局打开成长空间
2025-06-16	688271	联影医疗	增持	新一轮股权激励计划发布，助力增长
2025-06-16	300997	欢乐家	增持	供应链稳步进阶，产品渠道多元并进
2025-06-16	301033	迈普医学	买入	公司深度报告：深耕神外赛道，脑膜胶和可吸收止血纱新品上量可期
2025-06-16	601155	新城控股	买入	公司信息更新报告：商管经营持续稳健，母公司重启美元债融资
2025-06-16	688347	华虹公司	买入	工艺革新，创芯解码
2025-06-16	831961	创远信科	增持	射频通信测试仪器“小巨人”，车联网、低轨、低空等新兴领域缔造成长新机遇
2025-06-16	600026	中远海能	增持	中远海能，2024年报点评，利润增+19%，关注油运景气周期
2025-06-16	688041	海光信息	买入	海光信息吸收合并中科曙光之三问三答
2025-06-16	601058	赛轮轮胎	买入	25Q1产销增长，品牌持续升级
2025-06-16	920037	广信科技		绝缘材料领域国家级专精特新“小巨人”，下游需求旺盛，国产替代空间广阔
2025-06-16	300161	华中数控	增持	五轴高端引领，拥抱自主可控
2025-06-16	688088	虹软科技	增持	AI视觉算法头部厂商，新场景打开营收新增量
2025-06-16	831087	秋乐种业	增持	北交所信息更新：国内玉米种业领军者业绩短期承压，静待研发与渠道发力迎拐点
2025-06-16	600873	梅花生物	买入	业绩表现良好，新项目落地助成长
2025-06-16	002384	东山精密	买入	事件点评：算力追光者，东山精密收购索尔思光电
2025-06-16	836221	易实精密	买入	现金收购精冲工艺领域标的控制权，完善金属成型工艺链布局
2025-06-16	688652	京仪装备	增持	深耕半导体专用温控/废气处理设备，国内市场份额稳步提升
2025-06-16	870357	雅葆轩	增持	北交所信息更新：汽车电子新客户已进入批量生产，2025Q1归母净利润同比增长115%
2025-06-16	300760	迈瑞医疗	买入	数智化+流水化转型，打造增长新引擎
2025-06-16	830779	武汉蓝电	增持	立足消费电子领域，拓展动力电池企业端客户大功率电池测试设备应用场景
2025-06-16	000002	万科A	中性	公司信息更新报告：销售均价有所提升，股东持续借款提供支持
2025-06-15	300880	迦南智能	买入	电表业务“小而美”行稳致远，国际化和新能源加速布局
2025-06-15	688629	华丰科技	增持	AI算力时代的高速线模组领军者
2025-06-15	688041	海光信息	买入	海光信息事件点评：“硬件-软件-生态”协同，打造领先优势
2025-06-15	300204	舒泰神	买入	以突破性疗法为抓手，开拓细专科大市场
2025-06-15	002706	良信股份	买入	“两智一新”稳增长，AIDC创新机
2025-06-15	300285	国瓷材料	增持	业绩稳中有增，多板块持续发力
2025-06-15	002170	芭田股份	买入	小高寨磷矿迎来放量，助推业绩高增，二期扩能稳步推进
2025-06-15	001388	信通电子		新股覆盖研究：信通电子
2025-06-15	920037	广信科技		北交所新股申购报告：绝缘纤维材料“小巨人”，卡位750kV绝缘蓝海+新能源
2025-06-15	688775	影石创新	增持	全景影像龙头，技术卡位占据优势
2025-06-15	601857	中国石油	买入	新疆油田绿色转型，从“跟随者”向“开拓者”蜕变
2025-06-15	002545	东方铁塔	买入	钾肥增长显著，加快推进第二个百万吨建设
2025-06-15	688301	奕瑞科技	买入	X线影像设备一站式供应商，打破国外技术垄断
2025-06-15	688658	悦康药业	买入	公司信息更新报告：小核酸和mRNA管线布局丰富，创新转型扬帆起航
2025-06-15	600480	凌云股份	买入	主业稳健增长，机器人传感器带来增长期权
2025-06-15	688271	联影医疗	买入	发布新一期股权激励，彰显长期增长信心
2025-06-14	300910	瑞丰新材	买入	公司深度报告：国内润滑油添加剂龙头企业，技术突破与国产替代驱动公司成长
2025-06-14	000917	电广传媒	买入	“新文旅”战略成效显著，潮玩赛道前瞻布局
2025-06-14	002364	中恒电气	增持	通信电源龙头，受益AIDC算力提升
2025-06-14	831195	三祥科技	增持	车用胶管及其总成“小巨人”，紧抓新能源车发展机遇纵横前装车后全球市场
2025-06-13	600901	江苏金租	买入	聚焦小微零售，量价双驱+三位一体风控构筑护城河
2025-06-13	000596	古井贡酒	买入	坚持“全国化、次高端”战略，25年稳健发展可期
2025-06-13	300251	光线传媒	增持	《哪咤》IP持续发酵，未来“动画+IP”模式有望打开高成长空间
2025-06-13	600968	海油发展	买入	油气一体化的海上油服领军企业
2025-06-13	003033	征和工业	买入	公司动态研究报告：锚定链传动技术引领优势，破局海外市场与新兴领域新版图
2025-06-13	688286	敏芯股份	增持	MEMS技术平台型企业，多产品线齐头并进
2025-06-13	601857	中国石油	买入	油气新能源深度耦合，可持续发展能力提升
2025-06-13	001308	康冠科技	买入	智能显示领军者，多元业务驱动增长新势能
2025-06-13	603167	渤海轮渡	买入	运量有望增长，高股息或持续
2025-06-13	000983	山西焦煤	增持	整合资源打造龙头，聚焦主业提质增效
2025-06-13	600398	海澜之家	买入	深度报告：折扣零售兴起，新业态孕育而生
2025-06-13	300652	雷迪克	买入	公司信息更新报告：誊展精密股权收购落地，人形机器人业务加速
2025-06-13	688409	富创精密	买入	富集芯能，创领未来
2025-06-13	688099	晶晨股份	买入	全球布局的音视频SoC龙头，多元布局开拓成长空间
2025-06-13	002246	北化股份	买入	防务需求逐步回暖，商业航天前景广阔
2025-06-13	003006	百亚股份	买入	国内优质卫生巾品牌 大单品持续放量
2025-06-12	000938	紫光股份	买入	ICT领军，AI服务器与交换机齐放量
2025-06-12	002290	禾盛新材	买入	动态点评：对外投资熠知电子，打通AI的“任督二脉”
2025-06-12	000831	中国稀土	增持	中稀集团核心上市平台，受益稀土行业多重催化
2025-06-12	688503	聚和材料	增持	2024年年报和2025年一季报点评：稳健经营，行业地位稳固
2025-06-12	300203	聚光科技	买入	公司深度研究：行业龙头底蕴深厚，轻装上阵拐点已至
2025-06-12	834599	同力股份	买入	无人矿车打开长期增长空间，独具成长与红利双重属性
2025-06-12	002911	佛燃能源	买入	佛山城燃龙头，高分红构筑安全边际
2025-06-12	688396	华润微	增持	1Q25营收同比改善，汽车电子占比稳步提升
2025-06-12	002550	千红制药	买入	QHRD107 EHA数据点评：Ⅱa期初步数据优秀，临床进展顺利
2025-06-12	833429	康比特	增持	从专业迈向大众，品牌+渠道双轮破圈运动营养赛道
2025-06-12	300979	华利集团	买入	首次覆盖：运动鞋制造龙头，壁垒深厚，增长可期
2025-06-12	002036	联创电子	增持	公司首次覆盖报告：车载光学产能加速释放，静待盈利修复
2025-06-12	601881	中国银河	买入	业务结构优化的头部央企，向国际投行进军
2025-06-12	301291	明阳电气	增持	持续推动产品升级，数据中心与海外业务打开空间
2025-06-12	300473	德尔股份	买入	固态电池产线落地，汽零主业恢复增长
2025-06-12	688698	伟创电气	增持	公司联合机器人产业链公司，加速布局灵巧手赛道
2025-06-12	002841	视源股份	买入	首次覆盖：AI赋能，希沃教育应用落地有望加速
2025-06-12	603883	老百姓	买入	利润短期承压，期待25年表现
2025-06-12	603039	泛微网络	买入	深度报告：协同办公龙头，AI Agent打开第二成长曲线
2025-06-12	300373	扬杰科技	买入	员工持股计划激励成长
2025-06-12	601933	永辉超市	增持	门店调改效果显著，静待长期业绩回报
2025-06-12	600312	平高电气	增持	平高电气首次覆盖报告：深耕高压开关设备行业，受益特高压等电网投资增长
2025-06-12	300633	开立医疗	买入	主营业务经营稳健，高端化与国际化构筑长期竞争力
2025-06-12	300638	广和通	增持	端侧模组助力AI新消费玩偶，公司正在申请港股上市
2025-06-12	603083	剑桥科技	买入	公司动态研究报告：800G及400G系列新品量产，光模块需求爆发推动利润高增
2025-06-11	688258	卓易信息	买入	公司信息更新报告：发布AI+IDE平台EazyDevelop，激励落地放量可期
2025-06-11	688591	泰凌微	买入	无线连接芯片技术领航者，AIoT全场景物联网应用打开成长空间
2025-06-11	601083	锦江航运	增持	锦江航运，2024年报点评，年净利润同比增37%，维持高分红
2025-06-11	002497	雅化集团	买入	深度报告：民爆为盾，锂盐为矛
2025-06-11	688410	山外山	买入	山外山：血液净化设备国产龙头，全产业链布局前景广阔
2025-06-11	603893	瑞芯微	买入	AIoT SoC龙头厂商，充分受益端侧大时代
2025-06-11	688041	海光信息	增持	海光信息吸收合并中科曙光，实现算力产业链闭环布局
2025-06-11	688775	影石创新		影石创新投资探讨：25年前瞻专题之影石创新
2025-06-11	600259	广晟有色	买入	低估、高成长的华南稀土龙头
2025-06-11	688010	福光股份	买入	半导体精密光学持续推进，车载镜头加速成长
2025-06-11	603052	可川科技	买入	可川科技事件点评：打造光模块全链条制造能力，规模化生产开启
2025-06-11	839493	并行科技	增持	北交所信息更新：已部署DeepSeek-R1等主流模型，2025Q1归母净利润同比+43.77%
2025-06-11	605376	博迁新材	买入	电子粉体龙头技术领先，拓展新能源第二增长极
2025-06-11	688262	国芯科技	买入	汽车电子高速增长，RISC-V注入新动能
2025-06-11	301120	新特电气		变频用变压器领先企业，数据中心有望打开成长空间
2025-06-11	600933	爱柯迪	增持	卓尔博项目获上交所受理，主业增长稳健
2025-06-11	601021	春秋航空	增持	经营稳健，国际航线继续恢复
2025-06-11	688363	华熙生物	买入	HA龙头革新启航，生命科技引领增长
2025-06-11	600575	淮河能源	买入	煤电联营模式优势凸显，资产注入稳步推进
2025-06-11	002171	楚江新材	买入	铜基龙头进击军工新材料，有望受益于航空航天新景气
