时间	代码	名称	评级	标题
2025-11-09	688625	呈和科技	买入	呈和科技2025年三季报点评：国产替代与海外扩张支撑公司稳健增长
2025-11-09	300724	捷佳伟创	买入	2025Q3业绩点评：光伏电池设备龙头，布局泛半导体领域
2025-11-09	600298	安琪酵母	买入	2025年三季报点评：25Q3海外市场表现出色，成本红利持续释放
2025-11-09	603678	火炬电子	买入	盈利能力稳步提升，未来前景持续向好
2025-11-08	600160	巨化股份	买入	巨化股份2025年三季报点评：制冷剂高景气周期提升公司业绩，含氟新材料产品前瞻布局
2025-11-08	688403	汇成股份	买入	汇成股份：Q3营收稳健增长，持续布局DRAM封测
2025-11-08	688533	上声电子	增持	单三季度收入同比增长2%，车载声学系统产品持续放量
2025-11-08	300143	盈康生命	买入	肿瘤特色优势强化，三季度业绩加速增长
2025-11-08	600195	中牧股份	买入	2025年三季报点评：主营修复与新兴业务共振
2025-11-08	603699	纽威股份	买入	25Q3点评：业绩超预期，Q3归母净利同比+40.4%增长提速
2025-11-08	600699	均胜电子	增持	单三季度净利润同比增长35%，加速开拓汽车电子及机器人关键零部件业务
2025-11-08	301367	瑞迈特	买入	新款呼吸机有望快速放量，耗材占比持续增长
2025-11-08	603379	三美股份	买入	三美股份2025年三季报点评：制冷剂高景气周期推动公司单季利润创历史新高
2025-11-08	688208	道通科技	买入	各项业务均高速增长，单季度毛利率显著提升
2025-11-07	600690	海尔智家	买入	行稳致远，品牌突围
2025-11-07	688185	康希诺		利润同比扭亏，创新管线持续放量
2025-11-07	002019	亿帆医药	买入	2025年三季报点评：稳步向上，创新继续兑现
2025-11-07	603179	新泉股份	增持	前三季度收入同比增长19%，设立智能机器人全资子公司
2025-11-07	600305	恒顺醋业	增持	2025年三季报点评：Q3主业维持稳健增速，盈利能力持续改善
2025-11-07	301333	诺思格	增持	行业需求回暖，业绩稳健向上
2025-11-07	300755	华致酒行	买入	公司事件点评报告：需求承压修炼内功，存货减值计提影响利润
2025-11-07	600406	国电南瑞	增持	海外与网外业务快速发展，特高压需求迎来复苏
2025-11-07	300818	耐普矿机	买入	公司事件点评报告：业绩拐点确立，新品+海外+矿业三重驱动打开成长空间
2025-11-07	002096	易普力	买入	2025年三季报点评，Q3业绩稳健增长，“矿服一体化”成效显著
2025-11-07	002216	三全食品	增持	2025年三季报点评：Q3收入降幅环比收窄，盈利能力稳步提升
2025-11-07	920720	吉冈精密	增持	北交所信息更新：收购帝柯三家公司+2.29亿投资泰国新工厂，2025Q1-3营收同比+29%
2025-11-07	603590	康辰药业	买入	2025年三季报点评：业绩维持增长，研发项目稳步推进
2025-11-07	601336	新华保险	买入	投资收益和减值等支出项减少驱动利润高增，NBV保持较高增速
2025-11-07	300673	佩蒂股份	买入	2025Q3毛利率同比改善，爵宴持续高速增长
2025-11-07	002130	沃尔核材	买入	沃尔核材：Q3业绩稳健增长，高速铜缆持续放量
2025-11-07	600500	中化国际	增持	陆续剥离非主业资产提高经营质量，拟收购南通星辰发展高性能材料
2025-11-07	688548	广钢气体	买入	存储电子大宗陆续投产
2025-11-07	002226	江南化工	买入	2025年三季报点评：民爆与新能源双轮驱动，公司业绩展现韧性
2025-11-07	603106	恒银科技	增持	三位一体战略驱动，积极拓展海外市场
2025-11-07	688236	春立医疗	增持	2025年第三季度营收翻倍增长，出海业务成为第二增长曲线
2025-11-07	603338	浙江鼎力	买入	经营韧性强，持续推出差异化产品
2025-11-07	688123	聚辰股份	买入	高附加值产品持续布局，多元下游持续开拓
2025-11-07	603203	快克智能	买入	业绩表现亮眼，进入发展快车道
2025-11-07	300857	协创数据	买入	存储基业固本，智算服务开新
2025-11-07	603596	伯特利	买入	2025年三季报业绩点评：Q3业绩高增，积极推进人形机器人丝杆产品落地
2025-11-07	688008	澜起科技	买入	受益AI产业趋势，互联新品持续落地
2025-11-07	688176	亚虹医药	买入	公司事件点评报告：仿制药收入持续增长，创新品种APL-1702获批在即
2025-11-07	301096	百诚医药	增持	业绩承压，持续推进创新转型
2025-11-07	002212	天融信	买入	2025年第三季度报告点评：经营业绩短期承压，持续布局量子安全
2025-11-07	301398	星源卓镁	买入	星源卓镁事件点评：镁合金壳体再下一城，期待产能释放带动业绩上行
2025-11-07	000625	长安汽车	买入	公司简评报告：2025Q3营收同环比增长，智驾、机器人发展规划清晰
2025-11-07	688019	安集科技	买入	盈利能力进一步提升，产品布局不断完善
2025-11-07	001215	千味央厨	增持	2025年三季报点评：Q3单季收入环比改善，盈利能力仍承压
2025-11-07	688161	威高骨科	增持	销售模式整合和精细化管理带动多条产线收入和销量的持续增长
2025-11-07	300418	昆仑万维	买入	Q3单季实现扭亏为盈，AI与短剧双引擎驱动成长
2025-11-07	600378	昊华科技	买入	业绩同环比高增，制冷剂维持高景气
2025-11-07	300976	达瑞电子	买入	公司深度研究：AI终端轻量化平台公司，服务头部品牌助力爆款品类
2025-11-07	688117	圣诺生物		前三季度业绩持续增长，受益于GLP-1RA放量
2025-11-07	688686	奥普特	买入	中小盘信息更新：经营业绩延续高增，AI赋能机器视觉成效显著
2025-11-07	601668	中国建筑	买入	业绩有韧性，工业厂房和能源工程合同增速快
2025-11-07	002594	比亚迪	买入	2025年三季报业绩点评：单车盈利改善，技术、高端化、出口持续突破
2025-11-07	002138	顺络电子	买入	AI服务器芯片电感超预期，ESSD钽电容持续增长
2025-11-07	688276	百克生物		核心品种承压可控，创新布局推动长期增长
2025-11-07	688389	普门科技		国际业务加速增长，国内业务显现积极信号
2025-11-07	301376	致欧科技	买入	公司首次覆盖报告：全球化供应链布局，家居跨境领先品牌
2025-11-07	000034	神州数码	买入	AI驱动收入扩张，互联网大厂AI算力及应用合作深化
2025-11-07	920418	苏轴股份	增持	苏轴股份（920418）2025年三季报点评：看好公司在机器人赛道发展
2025-11-07	603288	海天味业	买入	2025年三季报点评：Q3经营业绩稳健，盈利能力持续提升
2025-11-07	301498	乖宝宠物	买入	公司事件点评报告：短期利润承压，品牌力与现金流构筑长期护城河
2025-11-07	920914	远航精密	买入	远航精密点评报告：下游需求持续增长，布局极薄镍基材料
2025-11-07	002683	广东宏大	买入	2025年三季报点评：矿服民爆主业稳健，防务装备成长提速
2025-11-07	300760	迈瑞医疗		25Q3收入同比增速转正，国际收入增长提速
2025-11-07	688333	铂力特	买入	2025Q3点评：行业拐点已现
2025-11-07	920978	开特股份	买入	开特股份（920978）2025年三季报点评
2025-11-07	603717	天域生物		新旧动能转换，挑战与机遇并存
2025-11-07	603297	永新光学	增持	永新光学：Q3业绩符合预期，高端显微镜持续放量
2025-11-07	001301	尚太科技	增持	Q3销售规模再创新高，产能建设加速推进
2025-11-07	002850	科达利	增持	核心业务稳健发展，机器人新业务加速布局
2025-11-07	600779	水井坊		报表大幅出清，库存加速去化
2025-11-07	688036	传音控股	买入	单季度收入增长利润承压，看好端侧AI布局
2025-11-07	601390	中国中铁	增持	盈利能力筑底回温，持续压实资产
2025-11-07	000713	国投丰乐	增持	2025三季报点评：短期行业景气低迷，Q3末合同负债同比基本持平
2025-11-07	601800	中国交建	买入	2025年三季报点评：新兴业务表现亮眼，经营性现金流同比改善
2025-11-07	600975	新五丰	增持	2025三季报点评：净利随猪价回落承压，代养模式进一步优化
2025-11-07	603283	赛腾股份	增持	2025年三季报点评：业绩短期承压，不改长期向好
2025-11-07	603997	继峰股份	增持	单三季度净利润环比增长97%，海外加速贡献业绩
2025-11-07	920058	华洋赛车	增持	北交所信息更新：华锐动能合作德国Sun Venture拓展轻型电动车，2025Q1-3营收+52%
2025-11-07	600655	豫园股份	买入	公司信息更新报告：物业开发拖累业绩，主业调整及出海打开成长空间
2025-11-07	600933	爱柯迪	增持	三季度净利润同比增长10%，卓尔博股权完成过户
2025-11-07	002487	大金重工	买入	2025年三季报点评：海外市场放量创业绩新高，海工新业务稳步前行
2025-11-07	300999	金龙鱼	增持	2025年三季报点评：归母净利同比增长，厨房食品及压榨利润均明显改善
2025-11-07	601186	中国铁建	增持	单季度利润回升，静待下游需求回暖
2025-11-07	601398	工商银行	增持	公司简评报告：非息收入明显改善，资产质量稳定
2025-11-07	600704	物产中大	增持	2025Q3点评，前三季度归母净利，同比增30.9%
2025-11-07	688599	天合光能	买入	三季度亏损同环比缩小，发力储能第二成长曲线
2025-11-07	002050	三花智控	增持	2025年三季度净利润高增长，降本增效成果显著
2025-11-07	002044	美年健康	买入	旺季经营改善，AI赋能成效显著
2025-11-07	688593	新相微	买入	OLED新品开始放量
2025-11-07	002100	天康生物	增持	2025年三季报点评：Q3维持正净利，外延并购有望打造新空间
2025-11-07	688017	绿的谐波	增持	2025年三季报点评：业绩增长显著，业务持续拓展
2025-11-07	002727	一心堂		业绩短期承压，门店调改稳步推进
2025-11-07	688187	时代电气	买入	2025年三季报业绩点评：业绩增长稳健，新兴装备持续突破
2025-11-06	300378	鼎捷数智	买入	中小企业景气度阶段性承压，AI Agent商业化落地加速
2025-11-06	300207	欣旺达	增持	Q3业绩同比高增，海外产能布局不断完善
2025-11-06	688008	澜起科技	增持	3Q25业绩增长动力依旧强劲
2025-11-06	688793	倍轻松	增持	2025年三季报点评：经营持续承压，期待门店模式变革成效
2025-11-06	300884	狄耐克	买入	狄耐克三季报点评：Q3业绩短期承压，鸿蒙与脑机双轮驱动
2025-11-06	601857	中国石油	买入	三季度业绩环比增长，天然气销售效益持续提升
2025-11-06	000596	古井贡酒		理性降速释放压力，加速去化渠道库存
2025-11-06	002739	万达电影	买入	业绩稳健增长，多元业务打开增长空间
2025-11-06	601138	工业富联	增持	工业富联：AI服务器高速放量，Q3盈利能力大幅提升
2025-11-06	603195	公牛集团	增持	2025年三季报点评：业绩短期承压，新业务成长可期
2025-11-06	301004	嘉益股份		业绩暂时承压，期待越南工厂体系理顺
2025-11-06	600475	华光环能	增持	Q3业绩拐点已现，氢能布局打开成长空间
2025-11-06	688222	成都先导	增持	2025年前三季度业绩加速提升，核心业务和自研管线进展顺利
2025-11-06	603214	爱婴室	买入	公司信息更新报告：2025Q3主业门店稳健扩张，万代合作持续推进
2025-11-06	688249	晶合集成	买入	28nm逻辑平台持续迭代
2025-11-06	002138	顺络电子	增持	顺络电子：25Q3业绩创新高，AI打开长期成长空间
2025-11-06	301219	腾远钴业	买入	业绩符合预期，一体化持续推进
2025-11-06	688321	微芯生物	买入	微芯生物：核心产品快速放量，关键临床推进顺利
2025-11-06	600729	重庆百货	增持	营收短期受调改节奏略承压，持续推进调改升级
2025-11-06	601919	中远海控	中性	三季度业绩强于预期，积极回报股东增强价值属性
2025-11-06	001308	康冠科技	增持	创新类显示产品延续高增长，车载显示打开新成长空间
2025-11-06	300827	上能电气	买入	营收稳健增长，费用及汇兑短期扰动Q3利润
2025-11-06	002460	赣锋锂业	买入	业绩符合预期，产能建设持续推进
2025-11-06	603039	泛微网络	增持	降本增效措施持续见效，拥抱AI+出海机遇
2025-11-06	003000	劲仔食品	买入	基本面边际改善，培育新品有望重塑增长
2025-11-06	300001	特锐德	增持	盈利能力显著改善，积极布局AIDC业务
2025-11-06	603855	华荣股份	买入	外贸维持高增，股份回购彰显信心
2025-11-06	920091	大鹏工业		新股覆盖研究：大鹏工业
2025-11-06	688766	普冉股份	增持	持续丰富“存储+”产品矩阵
2025-11-06	301191	菲菱科思	增持	3Q25业绩点评：营收向好拐点初至，国产化进程有望加速
2025-11-06	688378	奥来德	买入	材料设备双引擎，产业链条强联动
2025-11-06	600325	华发股份	增持	华发股份2025年三季报点评：加快销售去化，积极盘活存量闲置资产
2025-11-06	300760	迈瑞医疗	增持	国际业务增长稳健，第四季度营收同比增长有望提速
2025-11-06	601001	晋控煤业	增持	参股的同忻矿扭亏为盈，看好煤炭冬季行情
2025-11-06	300748	金力永磁	买入	业绩同比高增，积极布局新兴领域
2025-11-06	002414	高德红外	买入	合同负债大幅增长，看好全年业绩表现
2025-11-06	002821	凯莱英	增持	2025年三季报点评：单三季度整体营收保持平稳，新兴业务提质放量
2025-11-06	603296	华勤技术	增持	前三季度收入增长70%，多元化平台布局战略成效卓著
2025-11-06	601156	东航物流	增持	三季度归母净利同比-10%，关税扰动下经营韧性凸显
2025-11-06	601225	陕西煤业	买入	煤电双轮驱动Q3业绩修复，关注一体化及煤价弹性
2025-11-06	002508	老板电器	买入	零售渠道保持增长，经营愈加灵活
2025-11-06	000858	五粮液		25Q3报表大幅调整，加速去化渠道库存
2025-11-06	600266	城建发展	买入	2025年三季报点评：营收归母净利大幅改善，土地拓展促进稳健经营
2025-11-06	688229	博睿数据	增持	积极推进降本增效，新品ONE秋季版全球发布
2025-11-06	688362	甬矽电子	增持	25Q3业绩环比显著增长，盈利有望随规模提升而改善
2025-11-06	603711	香飘飘		渠道库存回归良性，多渠道构筑新增长点
2025-11-06	600298	安琪酵母	增持	Q3国内承压，海外延续较快增长
2025-11-06	688486	龙迅股份	买入	龙迅股份：25Q3利润高增，持续发力汽车等多下游领域
2025-11-06	600584	长电科技	买入	单季营收创同期新高，加速先进封装产业升级及产能建设
2025-11-06	000768	中航西飞	增持	营收净利稳步增长，持续受益下游景气度
2025-11-06	000830	鲁西化工	买入	淡季价差承压，静待景气修复
2025-11-06	603345	安井食品	买入	3季度经营改善，新渠道实现较快增长
2025-11-06	600660	福耀玻璃	增持	2025年三季报：主业稳健，利润短期扰动不改长期弹性
2025-11-06	002459	晶澳科技	买入	海外出货占比稳步提升，员工持股彰显决心
2025-11-06	601628	中国人寿	买入	新单销售逐季强劲改善，投资收益表现出色
2025-11-06	000983	山西焦煤	增持	经营活动现金流显著提升，焦煤价上行可期
2025-11-06	002867	周大生	买入	公司信息更新报告：三季度经营业绩改善，关注产品和渠道结构优化
2025-11-06	300308	中际旭创	增持	需求推动三季度业绩高增长，1.6T产品即将迎来大规模出货
2025-11-06	000088	盐田港	买入	2025年三季报点评：引战中远加强港航协同，公路改扩建疏港再提速
2025-11-06	000422	湖北宜化	买入	Q3净利同比增长，磷氟等项目有序推进
2025-11-06	688093	世华科技	增持	光电材料进入高速成长期，定增支持后续扩产
2025-11-06	002019	亿帆医药	买入	亿帆医药2025年三季报点评：业绩稳步增长，创新品种显著放量
2025-11-06	002415	海康威视	增持	3Q25归母净利润同比增长20.31%，经营质量持续提升
2025-11-06	688498	源杰科技	买入	源杰科技2025年三季报点评：源杰Q3业绩超预期，需求驱动为主要特征
2025-11-06	601933	永辉超市	买入	公司信息更新报告：2025Q3经营业绩短期承压，门店调改加速推进
2025-11-06	601595	上海电影	增持	2025年三季报业绩点评报告：核心业务驱动业绩释放，关注IP布局
2025-11-06	601058	赛轮轮胎	买入	盈利水平环比改善，海外工厂产能爬坡将贡献增量
2025-11-06	300979	华利集团	增持	3Q25毛利率环比改善，降本增效与新工厂盈利带动修复
2025-11-06	603690	至纯科技	增持	公司简评报告：短期业绩承压，但毛利率环比改善显著
2025-11-06	688629	华丰科技	增持	高速线模组持续上量
2025-11-06	688352	颀中科技	买入	颀中科技：Q3营收稳健增长，盈利能力持续修复
2025-11-06	600026	中远海能	增持	三季度归母净利同比+4%，旺季运价弹性值得期待
2025-11-06	300054	鼎龙股份	买入	鼎龙股份：25Q3业绩符合预期，半导体业务高速放量
2025-11-06	600760	中航沈飞	买入	第三季度经营稳健，军贸或成未来关注方向
2025-11-06	920914	远航精密	增持	2025Q3营收yoy+29%，推进极薄镍基材料研发旨在适配更高精度新能源应用场景
2025-11-06	300122	智飞生物		现金流储备充足，关注自研产品转化
2025-11-06	600809	山西汾酒	买入	2025年三季报点评：清香龙头韧性十足，静待行业需求复苏
2025-11-06	002517	恺英网络	买入	2025年三季报业绩点评报告：传奇盒子驱动业绩增长，关注新游及AI应用落地
2025-11-06	688236	春立医疗	买入	春立医疗：海外表现亮眼，盈利能力改善
2025-11-06	603027	千禾味业	增持	2025年三季报点评：25Q3收入降幅收窄，后续业绩改善可期
2025-11-06	300857	协创数据	买入	Q3收入增长提速，算力业务稳步推进
2025-11-06	300119	瑞普生物	买入	公司事件点评报告：传统业务稳健，新赛道布局深化
2025-11-06	002880	卫光生物		业绩短期承压，扩产与股权融资未来可期
2025-11-06	920982	锦波生物	增持	北交所信息更新：重源新品首发重构胶原应用逻辑，2025Q1-3营收同比+31%
2025-11-06	600469	风神股份	买入	2025Q3轮胎产品量价齐升，2万条巨胎项目打开成长空间
2025-11-06	688551	科威尔	买入	测试电源业务稳健增长，AI服务器打开新空间
2025-11-06	603986	兆易创新	增持	存储周期上行，3Q25扣非归母净利润环比增长55.25%
2025-11-06	688373	盟科药业	买入	2025年三季报点评：康替唑胺持续放量，研发成果逐步兑现
2025-11-06	601766	中国中车	买入	2025年三季报业绩点评：下游景气持续，业绩延续快速增长
2025-11-06	002605	姚记科技	增持	游戏业务稳健，打造短视频全产业链生态
2025-11-06	688696	极米科技	买入	新业务培育期盈利能力承压，期待Q4迎来业绩拐点
2025-11-06	600519	贵州茅台	买入	事件点评：多措并举，彰显龙头担当
2025-11-06	002895	川恒股份	买入	三季度业绩超预期，持续看好公司成长性
2025-11-05	300083	创世纪	买入	2025年三季报业绩点评：Q3业绩同比+164%，3C需求持续高景气
2025-11-05	002714	牧原股份	买入	生猪养殖持续降本，屠宰单季扭亏
2025-11-05	688361	中科飞测	增持	2025三季报点评：营收持续高增，先进制程量检测设备研发验证进展顺利
2025-11-05	600546	山煤国际	增持	产销比修复，未来业绩仍有改善空间
2025-11-05	002563	森马服饰	买入	2025年三季报点评：Q3利润率环比回升，Q4销售开局良好
2025-11-05	688351	微电生理	买入	微电生理：海外收入快速增长，创新单品稳步推进
2025-11-05	601100	恒立液压	买入	Q3业绩高增长，看好主业复苏+新业务持续开拓
2025-11-05	300007	汉威科技	增持	季报点评：不断丰富具身智能传感器产品矩阵，持续提升智能仪表产品竞争优势
2025-11-05	300450	先导智能	买入	2025年三季报业绩点评：业绩持续改善，受益周期复苏+固态新技术
2025-11-05	002050	三花智控	买入	三花智控：2025Q3业绩高增，机器人业务积极布局
2025-11-05	002467	二六三	买入	二六三2025年三季报业绩点评：AI赋能多业务布局，业绩增长有望超预期
2025-11-05	600862	中航高科	买入	经营业绩小幅承压，看好长期发展前景
2025-11-05	688127	蓝特光学	增持	前三季度净利润增长55%，模造玻璃应用日益凸显
2025-11-05	300496	中科创达	买入	收入利润持续高增长，端侧AI快速起量
2025-11-05	688358	祥生医疗	增持	25Q3利润端表现亮眼，AI构筑核心竞争力
2025-11-05	002946	新乳业	买入	低温品类延续双位数增长，产品创新持续推动净利率提升
2025-11-05	002594	比亚迪	买入	海外销量增长迅猛，盈利能力开始改善
2025-11-05	688323	瑞华泰	增持	盈利压力仍存，静待增量产能释放
2025-11-05	002096	易普力	买入	新签订单金额高增，国际业务拓展加速
2025-11-05	688443	智翔金泰	增持	对外授权及产品商业化驱动营收大幅增长
2025-11-05	603590	康辰药业	买入	康辰药业：血凝酶市场潜力较大，在研管线临床推进顺利
2025-11-05	002517	恺英网络	增持	传奇盒子商业化加速，新品周期开启
2025-11-05	301377	鼎泰高科	买入	超硬M9 CCL PCB驱动新增长
2025-11-05	002643	万润股份	买入	前三季度业绩符合预期，降本增效优化盈利结构
2025-11-05	600699	均胜电子	买入	Q3业绩超预期，机器人及智驾业务发展迅速
2025-11-05	688300	联瑞新材	买入	营收及盈利持续双增，25Q3业绩符合预期
2025-11-05	688799	华纳药厂	买入	华纳药厂：核心业务稳定增长，积极推进创新管线临床
2025-11-05	600585	海螺水泥	增持	行业量价下行，三季度业绩环比承压
2025-11-05	002215	诺普信	买入	公司事件点评报告：技术驱动产季优化，KA渠道合作深化
